signal_id,symbol,action,signal_time,entry_price,stop_loss,target1,target2,target3,status,outcome,hit_target1,hit_target2,hit_target3,hit_stop_loss,target1_time,target2_time,target3_time,stop_loss_time,target1_minutes,target2_minutes,target3_minutes,stop_loss_minutes,max_profit_pct,max_drawdown_pct,final_outcome
1765,ADAUSDT,SHORT,2025-11-03 21:01:15+00:00,0.5488,0.5671,0.5152,,,ACTIVE,ONGOING,False,False,False,False,,,,,,,,,1.2208454810495497,-2.241253644314885,ONGOING
1764,DOGEUSDT,SHORT,2025-11-03 06:50:53+00:00,0.17276,0.18335,0.15962,,,ACTIVE,ONGOING,False,False,False,False,,,,,,,,,7.287566566334794,-1.765454966427412,ONGOING
1763,ADAUSDT,SHORT,2025-11-03 05:04:42+00:00,0.5783,0.5942,0.5516,,,CLOSED,ONGOING,True,False,False,False,2025-11-03 21:02:00+00:00,,,,957.3,,,,4.738025246411913,0.0,TARGET1
1762,SOLUSDT,SHORT,2025-11-03 04:47:13+00:00,177.24,185.54,169.53,,,CLOSED,ONGOING,True,False,False,False,2025-11-03 15:27:00+00:00,,,,639.7833333333333,,,,4.9311667795080165,-0.8519521552696856,TARGET1
1761,NEARUSDT,SHORT,2025-11-03 04:47:01+00:00,2.031,2.134,1.919,,,CLOSED,ONGOING,True,False,False,False,2025-11-03 15:29:00+00:00,,,,641.9833333333333,,,,5.61299852289513,-1.9694731659281157,TARGET1
1760,BTCUSDT,SHORT,2025-10-30 14:06:32+00:00,108103.8,110848.3,100983.4,,,CLOSED,ONGOING,False,False,False,True,,,,2025-10-31 14:55:00+00:00,,,,1488.4666666666667,1.6645668329883005,-2.5442121368536528,STOP_LOSS
1759,ADAUSDT,SHORT,2025-10-30 13:00:27+00:00,0.6181,0.6398,0.5867,,,CLOSED,ONGOING,True,False,False,False,2025-10-30 19:59:00+00:00,,,,418.55,,,,5.128619964407046,-0.6147872512538466,TARGET1
1758,DOGEUSDT,SHORT,2025-10-29 00:00:06+00:00,0.19335,0.20442,0.17932,,,CLOSED,ONGOING,True,False,False,False,2025-10-30 17:30:00+00:00,,,,2489.9,,,,7.742435996896811,-2.0325833979829415,TARGET1
1757,SOLUSDT,SHORT,2025-10-28 21:35:28+00:00,193.3,202.27,181.0,,,CLOSED,ONGOING,True,False,False,False,2025-10-30 18:41:00+00:00,,,,2705.5333333333333,,,,6.456285566476988,-4.345576823590262,TARGET1
1756,NEARUSDT,SHORT,2025-10-28 21:09:44+00:00,2.214,2.346,2.1,,,CLOSED,ONGOING,False,False,False,True,,,,2025-10-29 17:59:00+00:00,,,,1249.2666666666667,0.13550135501355529,-6.007226738934056,STOP_LOSS
1755,LINKUSDT,LONG,2025-10-27 03:16:38+00:00,18.974,18.449,19.604,,,CLOSED,ONGOING,False,False,False,True,,,,2025-10-27 09:50:00+00:00,,,,393.3666666666667,0.45325181827763533,-2.8143775693053596,STOP_LOSS
1754,BTCUSDT,LONG,2025-10-27 02:00:24+00:00,115259.8,113312.6,119071.7,,,CLOSED,ONGOING,False,False,False,True,,,,2025-10-28 20:04:00+00:00,,,,2523.6,0.9892434309273459,-1.8843690514819549,STOP_LOSS
1753,SOLUSDT,LONG,2025-10-27 01:37:47+00:00,204.86,197.74,211.78,,,CLOSED,ONGOING,False,False,False,True,,,,2025-10-27 21:24:00+00:00,,,,1186.2166666666667,0.2294249731523962,-3.4901884213609318,STOP_LOSS
1752,LINKUSDT,LONG,2025-10-26 22:38:17+00:00,18.447,17.942,18.946,,,CLOSED,ONGOING,True,False,False,False,2025-10-27 02:03:00+00:00,,,,204.71666666666667,,,,2.726730633707379,0.0,TARGET1
1751,DOGEUSDT,LONG,2025-10-26 15:08:37+00:00,0.2026,0.19577,0.21123,,,CLOSED,ONGOING,False,False,False,True,,,,2025-10-28 20:05:00+00:00,,,,3176.383333333333,3.4205330700888408,-3.474827245804536,STOP_LOSS
1750,NEARUSDT,LONG,2025-10-26 12:38:36+00:00,2.352,2.275,2.426,,,CLOSED,ONGOING,False,False,False,True,,,,2025-10-28 19:20:00+00:00,,,,3281.4,2.8486394557823203,-3.358843537414955,STOP_LOSS
1749,NEARUSDT,LONG,2025-10-25 17:31:09+00:00,2.283,2.212,2.357,,,CLOSED,ONGOING,True,False,False,False,2025-10-26 11:43:00+00:00,,,,1091.85,,,,3.372755146736748,-1.3140604467805432,TARGET1
1748,SOLUSDT,SHORT,2025-10-23 20:30:23+00:00,190.18,198.18,181.36,,,CLOSED,ONGOING,False,False,False,True,,,,2025-10-26 12:00:00+00:00,,,,3809.616666666667,0.9832789988432036,-4.2380902303081305,STOP_LOSS
1747,SOLUSDT,SHORT,2025-10-22 21:38:58+00:00,177.44,188.55,165.6,,,CLOSED,ONGOING,False,False,False,True,,,,2025-10-23 08:18:00+00:00,,,,639.0333333333333,0.0,-6.306357078449051,STOP_LOSS
1746,DOGEUSDT,SHORT,2025-10-22 12:08:37+00:00,0.19079,0.20174,0.17679,,,ACTIVE,ONGOING,False,False,False,False,,,,,,,,,3.2077152890612646,-5.325226689029825,ONGOING
1745,SOLUSDT,SHORT,2025-10-21 20:33:00+00:00,191.17,202.12,180.23,,,CLOSED,ONGOING,True,False,False,False,2025-10-22 18:18:00+00:00,,,,1305.0,,,,5.748809959721704,-0.39232097086362927,TARGET1
1744,AGLDUSDT,LONG,2025-10-21 16:44:06+00:00,0.4508,0.4222,0.4985,,,CLOSED,ONGOING,False,False,False,True,,,,2025-10-21 22:58:00+00:00,,,,373.9,3.8154392191659383,-6.610470275066548,STOP_LOSS
1743,ADAUSDT,LONG,2025-10-21 16:04:43+00:00,0.6813,0.6599,0.7107,,,CLOSED,ONGOING,False,False,False,True,,,,2025-10-21 20:17:00+00:00,,,,252.28333333333333,0.39630118890357197,-3.243798620284751,STOP_LOSS
1742,SOLUSDT,SHORT,2025-10-21 05:07:37+00:00,183.1,190.99,175.5,,,CLOSED,ONGOING,False,False,False,True,,,,2025-10-21 20:33:00+00:00,,,,925.3833333333333,0.0,-4.576734025122882,STOP_LOSS
1741,SOLUSDT,SHORT,2025-10-20 14:30:08+00:00,191.88,198.82,184.35,,,CLOSED,ONGOING,True,False,False,False,2025-10-21 04:02:00+00:00,,,,811.8666666666667,,,,4.028559516364389,-0.23452157598499954,TARGET1
1739,DOGEUSDT,LONG,2025-10-19 15:11:48+00:00,0.19624,0.1864,0.2123,,,ACTIVE,ONGOING,False,False,False,False,,,,,,,,,4.784957195271102,-4.897064818589486,ONGOING
1738,NEARUSDT,LONG,2025-10-19 15:00:02+00:00,2.266,2.158,2.385,,,CLOSED,ONGOING,False,False,False,True,,,,2025-10-22 11:03:00+00:00,,,,4082.9666666666667,4.36893203883496,-4.810238305383936,STOP_LOSS
1737,ADAUSDT,SHORT,2025-10-17 08:06:13+00:00,0.6044,0.632,0.5742,,,CLOSED,ONGOING,False,False,False,True,,,,2025-10-17 16:03:00+00:00,,,,476.78333333333336,2.00198544010589,-4.81469225678357,STOP_LOSS
